product_key,sku,product_name,product_class_id,subcategory,category,department,product_family,size,brand_name,manufacturer,supplier
25,42105001,"Tri-State Baby Onion ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,11.8,Tri-State,Tri-State,RowanWarehouse
26,42106001,"Tri-State Beets ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,19.6,Tri-State,Tri-State,RowanWarehouse
27,42107001,"Tri-State Broccoli ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,8.3,Tri-State,Tri-State,RowanWarehouse
28,42108001,"Tri-State Canned Peanuts ",NULL,"contains nut",Nuts,NULL,NULL,18.2,Tri-State,Tri-State,RowanWarehouse
29,42109001,"Tri-State Cantelope ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,16,Tri-State,Tri-State,RowanWarehouse
30,42110001,"Tri-State Cauliflower ",NULL,cauliflower,"Fresh Vegetables",NULL,NULL,5.63,Tri-State,Tri-State,RowanWarehouse
31,42111001,"Tri-State Corn on the Cob ",NULL,corn,"Fresh Vegetables",NULL,NULL,10.6,Tri-State,Tri-State,RowanWarehouse
32,42112001,"Tri-State Dried Mushrooms ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,15.6,Tri-State,Tri-State,RowanWarehouse
33,42113001,"Tri-State Elephant Garlic ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,15.1,Tri-State,Tri-State,RowanWarehouse
34,42114001,"Tri-State Fancy Plums ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,10.6,Tri-State,Tri-State,RowanWarehouse
35,42115001,"Tri-State Firm Tofu ",NULL,Tofu,Tofu,NULL,NULL,11.6,Tri-State,Tri-State,RowanWarehouse
36,42116001,"Tri-State Fresh Lima Beans ",NULL,beans,"Fresh Vegetables",NULL,NULL,17.7,Tri-State,Tri-State,RowanWarehouse
37,42117001,"Tri-State Fuji Apples ",NULL,apple,"Fresh Fruit",NULL,NULL,11.1,Tri-State,Tri-State,RowanWarehouse
38,42118001,"Tri-State Garlic ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,14.1,Tri-State,Tri-State,RowanWarehouse
39,42119001,"Tri-State Golden Delcious Apples ",NULL,apple,"Fresh Fruit",NULL,NULL,4.61,Tri-State,Tri-State,RowanWarehouse
40,42120001,"Tri-State Green Pepper ",NULL,pepper,"Fresh Vegetables",NULL,NULL,10,Tri-State,Tri-State,RowanWarehouse
41,42121001,"Tri-State Honey Dew ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,7.61,Tri-State,Tri-State,RowanWarehouse
42,42122001,"Tri-State Lemons ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,16.1,Tri-State,Tri-State,RowanWarehouse
43,42123001,"Tri-State Lettuce ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,5.65,Tri-State,Tri-State,RowanWarehouse
44,42124001,"Tri-State Limes ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,12.6,Tri-State,Tri-State,RowanWarehouse
45,42125001,"Tri-State Macintosh Apples ",NULL,apple,"Fresh Fruit",NULL,NULL,20,Tri-State,Tri-State,RowanWarehouse
46,42126001,"Tri-State Mandarin Oranges ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,13.1,Tri-State,Tri-State,RowanWarehouse
47,42127001,"Tri-State Mixed Nuts ",NULL,"contains nut",Nuts,NULL,NULL,7.68,Tri-State,Tri-State,RowanWarehouse
48,42128001,"Tri-State Mushrooms ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,15.1,Tri-State,Tri-State,RowanWarehouse
49,42129001,"Tri-State New Potatos ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,14.5,Tri-State,Tri-State,RowanWarehouse
50,42130001,"Tri-State Onions ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,13.8,Tri-State,Tri-State,RowanWarehouse
51,42131001,"Tri-State Oranges ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,7.1,Tri-State,Tri-State,RowanWarehouse
52,42132001,"Tri-State Party Nuts ",NULL,"contains nut",Nuts,NULL,NULL,12.6,Tri-State,Tri-State,RowanWarehouse
53,42133001,"Tri-State Peaches ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,8.5,Tri-State,Tri-State,RowanWarehouse
54,42134001,"Tri-State Plums ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,7.36,Tri-State,Tri-State,RowanWarehouse
55,42135001,"Tri-State Potatos ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,6.17,Tri-State,Tri-State,RowanWarehouse
56,42136001,"Tri-State Prepared Salad ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,4.65,Tri-State,Tri-State,RowanWarehouse
57,42137001,"Tri-State Red Delcious Apples ",NULL,apple,"Fresh Fruit",NULL,NULL,11.6,Tri-State,Tri-State,RowanWarehouse
58,42138001,"Tri-State Red Pepper ",NULL,pepper,"Fresh Vegetables",NULL,NULL,6.55,Tri-State,Tri-State,RowanWarehouse
59,42139001,"Tri-State Shitake Mushrooms ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,9.89,Tri-State,Tri-State,RowanWarehouse
60,42140001,"Tri-State Squash ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,11,Tri-State,Tri-State,RowanWarehouse
61,42141001,"Tri-State Summer Squash ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,17.2,Tri-State,Tri-State,RowanWarehouse
62,42142001,"Tri-State Sweet Onion ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,20.3,Tri-State,Tri-State,RowanWarehouse
63,42143001,"Tri-State Sweet Peas ",NULL,peas,"Fresh Vegetables",NULL,NULL,18.8,Tri-State,Tri-State,RowanWarehouse
64,42144001,"Tri-State Tangerines ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,14.6,Tri-State,Tri-State,RowanWarehouse
65,42145001,"Tri-State Tomatos ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,18.6,Tri-State,Tri-State,RowanWarehouse
66,42146001,"Tri-State Walnuts ",NULL,"contains nut",Nuts,NULL,NULL,16.7,Tri-State,Tri-State,RowanWarehouse
67,42147001,"Toucan Canned Mixed Fruit ",NULL,fruit,"Canned Fruit",NULL,NULL,15.8,Toucan,Toucan,RowanWarehouse
68,42148001,"Toucan Canned Peaches ",NULL,"Canned Fruit","Canned Fruit",NULL,NULL,15.7,Toucan,Toucan,RowanWarehouse
69,42149001,"Diapers Size 3",NULL,Diapers,Diapers,NULL,NULL,"36 ct","Tippy Toes","Tippy Toes",RowanWarehouse
70,42150001,"Diapers Size 3",NULL,Diapers,Diapers,NULL,NULL,"84 ct","Tippy Toes","Tippy Toes",RowanWarehouse
71,42151001,"Diapers Size 3",NULL,Diapers,Diapers,NULL,NULL,"96 ct","Tippy Toes","Tippy Toes",RowanWarehouse
72,42152001,"Diapers Size 4",NULL,Diapers,Diapers,NULL,NULL,"31 ct","Tippy Toes","Tippy Toes",RowanWarehouse
73,42153001,"Diapers Size 4",NULL,Diapers,Diapers,NULL,NULL,"72 ct","Tippy Toes","Tippy Toes",RowanWarehouse
74,42154001,"Diapers Size 5",NULL,Diapers,Diapers,NULL,NULL,"27 ct","Tippy Toes","Tippy Toes",RowanWarehouse
75,42155001,"Diapers Size 5",NULL,Diapers,Diapers,NULL,NULL,"70 ct","Tippy Toes","Tippy Toes",RowanWarehouse
76,42156001,"Tip Top Lox ",NULL,"Fresh Fish","Fresh Fish",NULL,NULL,11.1,"Tip Top","Tip Top",RowanWarehouse
77,42157001,"Thresher Malted Milk Balls ",NULL,milk,"Chocolate Candy",NULL,NULL,8.3,Thresher,Thresher,RowanWarehouse
78,42158001,"Thresher Mint Chocolate Bar ",NULL,bar,"Chocolate Candy",NULL,NULL,17.8,Thresher,Thresher,RowanWarehouse
79,42159001,"Thresher Mints ",NULL,"Hard Candy","Hard Candy",NULL,NULL,5.19,Thresher,Thresher,RowanWarehouse
80,42160001,"Thresher Semi-Sweet Chocolate Bar ",NULL,bar,"Chocolate Candy",NULL,NULL,17.7,Thresher,Thresher,RowanWarehouse
81,42161001,"Thresher Spicy Mints ",NULL,"Hard Candy","Hard Candy",NULL,NULL,8.1,Thresher,Thresher,RowanWarehouse
82,42162001,"Thresher Tasty Candy Bar ",NULL,bar,"Chocolate Candy",NULL,NULL,16.5,Thresher,Thresher,RowanWarehouse
83,42163001,"Thresher White Chocolate Bar ",NULL,bar,"Chocolate Candy",NULL,NULL,9.5,Thresher,Thresher,RowanWarehouse
84,42164001,"Bagel Thins 100% Whole Wheat",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"13 oz",Thomas,Thomas,RowanWarehouse
85,42165001,"Bagel Thins Cinnamon Raisin",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"13 oz",Thomas,Thomas,RowanWarehouse
86,42166001,"Bagel Thins Everything",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"13 oz",Thomas,Thomas,RowanWarehouse
87,42167001,"Bagel Thins Plain",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"13 oz",Thomas,Thomas,RowanWarehouse
88,42168001,"Bagels 100% Whole Wheat Mini",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"20 oz",Thomas,Thomas,RowanWarehouse
89,42169001,"Bagels Blueberry",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"22 oz",Thomas,Thomas,RowanWarehouse
90,42170001,"Bagels Cinnamon Raisin",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"22 oz",Thomas,Thomas,RowanWarehouse
91,42171001,"Bagels Cinnamon Raisin Mini",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"20 oz",Thomas,Thomas,RowanWarehouse
92,42172001,"Bagels Everything",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"22 oz",Thomas,Thomas,RowanWarehouse
93,42173001,"Bagels Hearty Grains Whole Wheat",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"22 oz",Thomas,Thomas,RowanWarehouse
94,42174001,"Bagels Plain",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"22 oz",Thomas,Thomas,RowanWarehouse
95,42175001,"Bagels Plain Mini",NULL,bagel,"Baked Goods Other than Bread",NULL,NULL,"20 oz",Thomas,Thomas,RowanWarehouse
96,42176001,"Bagels Plain Whole Grain",NULL,"whole grain","whole grain",NULL,NULL,"22 oz",Thomas,Thomas,RowanWarehouse
97,42177001,"English Muffins Double Fiber Honey Wheat",NULL,muffin,"Baked Goods Other than Bread",NULL,NULL,"12 oz",Thomas,Thomas,RowanWarehouse
98,42178001,"English Muffins Hearty Grains 100% Whole Wheat",NULL,muffin,"Baked Goods Other than Bread",NULL,NULL,"13 oz",Thomas,Thomas,RowanWarehouse
99,42179001,"English Muffins Multi Grain Light",NULL,muffin,"Baked Goods Other than Bread",NULL,NULL,"12 oz",Thomas,Thomas,RowanWarehouse
100,42180001,"English Muffins Original",NULL,muffin,"Baked Goods Other than Bread",NULL,NULL,"12 oz",Thomas,Thomas,RowanWarehouse
101,42181001,"English Muffins Original",NULL,muffin,"Baked Goods Other than Bread",NULL,NULL,"24 oz",Thomas,Thomas,RowanWarehouse
102,42182001,"English Muffins Original Whole Grain With Omega 3",NULL,muffin,"Baked Goods Other than Bread",NULL,NULL,"12 oz",Thomas,Thomas,RowanWarehouse
103,42183001,"English Muffins Raisin",NULL,muffin,"Baked Goods Other than Bread",NULL,NULL,"13 oz",Thomas,Thomas,RowanWarehouse
104,42184001,"English Muffins Triple Health",NULL,muffin,"Baked Goods Other than Bread",NULL,NULL,"11 oz",Thomas,Thomas,RowanWarehouse
105,42185001,"Tell Tale Almonds ",NULL,Nuts,Nuts,NULL,NULL,8.5,"Tell Tale","Tell Tale",RowanWarehouse
106,42186001,"Tell Tale Asparagus ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,6.35,"Tell Tale","Tell Tale",RowanWarehouse
107,42187001,"Tell Tale Baby Onion ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,14,"Tell Tale","Tell Tale",RowanWarehouse
108,42188001,"Tell Tale Beets ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,6.09,"Tell Tale","Tell Tale",RowanWarehouse
109,42189001,"Tell Tale Broccoli ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,17.8,"Tell Tale","Tell Tale",RowanWarehouse
110,42190001,"Tell Tale Canned Peanuts ",NULL,"contains nut",Nuts,NULL,NULL,6.86,"Tell Tale","Tell Tale",RowanWarehouse
111,42191001,"Tell Tale Cantelope ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,15.1,"Tell Tale","Tell Tale",RowanWarehouse
112,42192001,"Tell Tale Cauliflower ",NULL,cauliflower,"Fresh Vegetables",NULL,NULL,13.6,"Tell Tale","Tell Tale",RowanWarehouse
113,42193001,"Tell Tale Corn on the Cob ",NULL,corn,"Fresh Vegetables",NULL,NULL,10,"Tell Tale","Tell Tale",RowanWarehouse
114,42194001,"Tell Tale Dried Mushrooms ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,15.1,"Tell Tale","Tell Tale",RowanWarehouse
115,42195001,"Tell Tale Elephant Garlic ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,5.42,"Tell Tale","Tell Tale",RowanWarehouse
116,42196001,"Tell Tale Fancy Plums ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,19,"Tell Tale","Tell Tale",RowanWarehouse
117,42197001,"Tell Tale Firm Tofu ",NULL,Tofu,Tofu,NULL,NULL,16.1,"Tell Tale","Tell Tale",RowanWarehouse
118,42198001,"Tell Tale Fresh Lima Beans ",NULL,beans,"Fresh Vegetables",NULL,NULL,18.1,"Tell Tale","Tell Tale",RowanWarehouse
119,42199001,"Tell Tale Fuji Apples ",NULL,apple,"Fresh Fruit",NULL,NULL,6.47,"Tell Tale","Tell Tale",RowanWarehouse
120,42200001,"Tell Tale Garlic ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,6.22,"Tell Tale","Tell Tale",RowanWarehouse
121,42201001,"Tell Tale Golden Delcious Apples ",NULL,apple,"Fresh Fruit",NULL,NULL,11.8,"Tell Tale","Tell Tale",RowanWarehouse
122,42202001,"Tell Tale Green Pepper ",NULL,pepper,"Fresh Vegetables",NULL,NULL,11.3,"Tell Tale","Tell Tale",RowanWarehouse
123,42203001,"Tell Tale Honey Dew ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,6.28,"Tell Tale","Tell Tale",RowanWarehouse
124,42204001,"Tell Tale Lemons ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,7.32,"Tell Tale","Tell Tale",RowanWarehouse
125,42205001,"Tell Tale Lettuce ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,19.2,"Tell Tale","Tell Tale",RowanWarehouse
126,42206001,"Tell Tale Limes ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,11.6,"Tell Tale","Tell Tale",RowanWarehouse
127,42207001,"Tell Tale Macintosh Apples ",NULL,apple,"Fresh Fruit",NULL,NULL,18.3,"Tell Tale","Tell Tale",RowanWarehouse
128,42208001,"Tell Tale Mandarin Oranges ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,19.7,"Tell Tale","Tell Tale",RowanWarehouse
129,42209001,"Tell Tale Mixed Nuts ",NULL,"contains nut",Nuts,NULL,NULL,19.7,"Tell Tale","Tell Tale",RowanWarehouse
130,42210001,"Tell Tale Mushrooms ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,11.8,"Tell Tale","Tell Tale",RowanWarehouse
131,42211001,"Tell Tale New Potatos ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,12.8,"Tell Tale","Tell Tale",RowanWarehouse
132,42212001,"Tell Tale Onions ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,13.3,"Tell Tale","Tell Tale",RowanWarehouse
133,42213001,"Tell Tale Oranges ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,9.3,"Tell Tale","Tell Tale",RowanWarehouse
134,42214001,"Tell Tale Party Nuts ",NULL,"contains nut",Nuts,NULL,NULL,9.3,"Tell Tale","Tell Tale",RowanWarehouse
135,42215001,"Tell Tale Peaches ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,10,"Tell Tale","Tell Tale",RowanWarehouse
136,42216001,"Tell Tale Plums ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,7.85,"Tell Tale","Tell Tale",RowanWarehouse
137,42217001,"Tell Tale Potatos ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,10.1,"Tell Tale","Tell Tale",RowanWarehouse
138,42218001,"Tell Tale Prepared Salad ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,7.77,"Tell Tale","Tell Tale",RowanWarehouse
139,42219001,"Tell Tale Red Delcious Apples ",NULL,apple,"Fresh Fruit",NULL,NULL,18.8,"Tell Tale","Tell Tale",RowanWarehouse
140,42220001,"Tell Tale Red Pepper ",NULL,pepper,"Fresh Vegetables",NULL,NULL,6.02,"Tell Tale","Tell Tale",RowanWarehouse
141,42221001,"Tell Tale Shitake Mushrooms ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,18.6,"Tell Tale","Tell Tale",RowanWarehouse
142,42222001,"Tell Tale Squash ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,20.2,"Tell Tale","Tell Tale",RowanWarehouse
143,42223001,"Tell Tale Summer Squash ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,16.7,"Tell Tale","Tell Tale",RowanWarehouse
144,42224001,"Tell Tale Sweet Onion ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,11.5,"Tell Tale","Tell Tale",RowanWarehouse
145,42225001,"Tell Tale Sweet Peas ",NULL,peas,"Fresh Vegetables",NULL,NULL,12.5,"Tell Tale","Tell Tale",RowanWarehouse
146,42226001,"Tell Tale Tangerines ",NULL,"Fresh Fruit","Fresh Fruit",NULL,NULL,11.8,"Tell Tale","Tell Tale",RowanWarehouse
147,42227001,"Tell Tale Tomatos ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,10.8,"Tell Tale","Tell Tale",RowanWarehouse
148,42228001,"Tell Tale Walnuts ",NULL,"contains nut",Nuts,NULL,NULL,13.6,"Tell Tale","Tell Tale",RowanWarehouse
149,42229001,"Cake Dreamies Creme Kakes",NULL,cake,"Baked Goods Other than Bread",NULL,NULL,"14 oz",Tastykake,Tastykake,RowanWarehouse
150,42230001,"Cake Kandy Kake Peanut Butter",NULL,"contains nut","Baked Goods Other than Bread",NULL,NULL,"8 oz",Tastykake,Tastykake,RowanWarehouse
151,42231001,"Cake Koffee Kake Cream Filled",NULL,cake,"Baked Goods Other than Bread",NULL,NULL,"12 oz",Tastykake,Tastykake,RowanWarehouse
152,42232001,"Cupcakes Buttercream",NULL,cake,"Baked Goods Other than Bread",NULL,NULL,"13.5 oz",Tastykake,Tastykake,RowanWarehouse
153,42233001,"Cupcakes Chocolate",NULL,cake,"Baked Goods Other than Bread",NULL,NULL,"12.75 oz",Tastykake,Tastykake,RowanWarehouse
154,42234001,"Cupcakes Krimpet Butterscotch",NULL,cake,"Baked Goods Other than Bread",NULL,NULL,"12 oz",Tastykake,Tastykake,RowanWarehouse
155,42235001,"Cupcakes Lemon",NULL,cake,"Baked Goods Other than Bread",NULL,NULL,"12.75 oz",Tastykake,Tastykake,RowanWarehouse
156,42236001,"Pie Apple",NULL,apple,"Baked Goods Other than Bread",NULL,NULL,"4 oz",Tastykake,Tastykake,RowanWarehouse
157,42237001,"Pie Cherry",NULL,"Baked Goods Other than Bread","Baked Goods Other than Bread",NULL,NULL,"4 oz",Tastykake,Tastykake,RowanWarehouse
158,42238001,"Pie Chocolate Klair",NULL,chocolate,"Baked Goods Other than Bread",NULL,NULL,"4 oz",Tastykake,Tastykake,RowanWarehouse
159,42239001,"Pie Lemon",NULL,"Baked Goods Other than Bread","Baked Goods Other than Bread",NULL,NULL,"4 oz",Tastykake,Tastykake,RowanWarehouse
160,42240001,"Pie Peach",NULL,"Baked Goods Other than Bread","Baked Goods Other than Bread",NULL,NULL,"4 oz",Tastykake,Tastykake,RowanWarehouse
161,42241001,"Hot Cocoa Mix Marshmallows",NULL,mix,mix,NULL,NULL,"10 pkg","Swiss Miss","Swiss Miss",RowanWarehouse
162,42242001,"Hot Cocoa Mix Milk Chocolate",NULL,milk,Soda/Juice/Drinks,NULL,NULL,"10 pkg","Swiss Miss","Swiss Miss",RowanWarehouse
163,42243001,"Hot Cocoa Mix Milk Chocolate Canister",NULL,milk,Soda/Juice/Drinks,NULL,NULL,"28.5 oz","Swiss Miss","Swiss Miss",RowanWarehouse
164,42244001,"Hot Cocoa Mix Milk Chocolate No Sugar Added",NULL,milk,Soda/Juice/Drinks,NULL,NULL,"8 pkg","Swiss Miss","Swiss Miss",RowanWarehouse
165,42245001,"Swell Canned Mixed Fruit ",NULL,fruit,"Canned Fruit",NULL,NULL,7.61,Swell,Swell,RowanWarehouse
166,42246001,"Swell Canned Peaches ",NULL,"Canned Fruit","Canned Fruit",NULL,NULL,12.3,Swell,Swell,RowanWarehouse
167,42247001,"Super Brown Sugar ",NULL,Sugar,Sugar,NULL,NULL,7.25,Super,Super,RowanWarehouse
168,42248001,"Super Canola Oil ",NULL,oil,"Cooking Oil",NULL,NULL,7.89,Super,Super,RowanWarehouse
169,42249001,"Super Chunky Peanut Butter ",NULL,"contains nut","Peanut Butter",NULL,NULL,5.71,Super,Super,RowanWarehouse
170,42250001,"Super Corn Oil ",NULL,corn,"Cooking Oil",NULL,NULL,5.63,Super,Super,RowanWarehouse
171,42251001,"Super Creamy Peanut Butter ",NULL,"contains nut","Peanut Butter",NULL,NULL,15.2,Super,Super,RowanWarehouse
172,42252001,"Super Extra Chunky Peanut Butter ",NULL,"contains nut","Peanut Butter",NULL,NULL,17.7,Super,Super,RowanWarehouse
173,42253001,"Super Oregano ",NULL,oregano,Spices,NULL,NULL,11.6,Super,Super,RowanWarehouse
174,42254001,"Super Pepper ",NULL,pepper,Spices,NULL,NULL,15.7,Super,Super,RowanWarehouse
175,42255001,"Super Salt ",NULL,Spices,Spices,NULL,NULL,14.7,Super,Super,RowanWarehouse
176,42256001,"Super Sesame Oil ",NULL,oil,"Cooking Oil",NULL,NULL,14.5,Super,Super,RowanWarehouse
177,42257001,"Super Vegetable Oil ",NULL,oil,"Cooking Oil",NULL,NULL,7.23,Super,Super,RowanWarehouse
178,42258001,"Super White Sugar ",NULL,Sugar,Sugar,NULL,NULL,10.6,Super,Super,RowanWarehouse
179,42259001,"Sunset Counter Cleaner ",NULL,Cleaners,Cleaners,NULL,NULL,18,Sunset,Sunset,RowanWarehouse
180,42260001,"Sunset Glass Cleaner ",NULL,Cleaners,Cleaners,NULL,NULL,14.3,Sunset,Sunset,RowanWarehouse
181,42261001,"Sunset Room Freshener ",NULL,Deodorizers,Deodorizers,NULL,NULL,13.6,Sunset,Sunset,RowanWarehouse
182,42262001,"Sunset Toilet Bowl Cleaner ",NULL,oil,Cleaners,NULL,NULL,19.8,Sunset,Sunset,RowanWarehouse
183,42263001,"Sunny Delight Original",NULL,juice,juice,NULL,NULL,"6 pkg","Sunny Delight Drinks","Sunny Delight Drinks",RowanWarehouse
184,42264001,"Orange Citrus Punch Smooth",NULL,juice,juice,NULL,NULL,"64 oz","Sunny D","Sunny D",RowanWarehouse
185,42265001,"Orange Citrus Punch Tangy Original",NULL,juice,juice,NULL,NULL,"8 pkg","Sunny D","Sunny D",RowanWarehouse
186,42266001,"Bread Raisin",NULL,Bread,Bread,NULL,NULL,"16 oz",Sun-Maid,Sun-Maid,RowanWarehouse
187,42267001,"Giant Bread",NULL,Bread,Bread,NULL,NULL,"24 oz",Sunbeam,Sunbeam,RowanWarehouse
188,42268001,"BBQ Sauce Original",NULL,sauce,sauce,NULL,NULL,"18 oz",Stubbs,Stubbs,RowanWarehouse
